Log Count,Time Stamp,Acceleration x,Acceleration y,Acceleration z,Gyro x,Gyro y,Gyro z,Vertical Speed,Desired Height,Actual Height,Throttle,Desired Pitch,Actual Pitch,Pitch Adjustment,Desired Roll,Actual Roll,Roll Adjustment,Desired Yaw,Actual Yaw,Yaw Adjustment,Blob x-coord,
1,385.835217,-0.001953,-0.000195,1.006152,-0.215611,-0.013737,-0.114838,0,0,26.452,0,0,0.118964,0,0,0.104159,0,0,0.04733,0,0,160
2,385.835763,-0.001953,-0.000195,1.006152,0.140029,-0.013737,0.103891,330.649994,0,26.452,0,0,0.118951,0,0,0.104159,0,0,0.047387,0,0,160
3,385.836207,-0.005859,-0.000195,1.006152,-0.215611,0.26096,0.103891,330.649994,0,26.452,0,0,0.119209,0,0,0.103987,0,0,0.047433,0,0,160
4,385.836574,-0.005859,0.003711,1.006152,0.051119,-0.013737,0.103891,330.649994,0,26.452,0,0,0.119346,0,0,0.104077,0,0,0.047471,0,0,160
5,385.836956,-0.005859,0.003711,1.006152,-0.126701,0.169394,-0.114838,330.649994,0,26.452,0,0,0.119552,0,0,0.104099,0,0,0.047427,0,0,160
6,385.837316,-0.005859,0.003711,1.006152,-0.037791,0.077829,0.103891,330.649994,0,26.452,0,0,0.119722,0,0,0.104157,0,0,0.047465,0,0,160
7,385.83767,-0.005859,0.003711,1.006152,-0.126701,0.077829,-0.114838,330.649994,0,26.452,0,0,0.119891,0,0,0.104183,0,0,0.047424,0,0,160
8,385.838016,-0.005859,0.003711,1.006152,0.228939,0.077829,0.103891,330.649994,0,26.452,0,0,0.120059,0,0,0.104333,0,0,0.04746,0,0,160
9,385.838387,-0.005859,-0.000195,1.006152,0.051119,0.077829,0.103891,330.649994,0,26.452,0,0,0.120229,0,0,0.104275,0,0,0.047499,0,0,160
10,385.838741,-0.005859,-0.000195,1.006152,0.051119,-0.013737,0.103891,330.650055,0,26.452,0,0,0.120365,0,0,0.104217,0,0,0.047535,0,0,160
11,385.839096,-0.001953,-0.000195,1.002246,-0.215611,0.169394,-0.114838,330.650055,0,26.452,0,0,0.12042,0,0,0.104064,0,0,0.047495,0,0,160
12,385.839499,-0.001953,-0.004102,0.99834,0.051119,0.169394,0.103891,330.650055,0,26.452,0,0,0.120483,0,0,0.10386,0,0,0.047536,0,0,160
13,385.839886,-0.001953,-0.004102,1.002246,0.140029,-0.013737,-0.114838,330.650055,0,26.452,0,0,0.120471,0,0,0.10369,0,0,0.047492,0,0,160
14,385.840493,0.001953,-0.000195,0.99834,-0.037791,0.077829,0.103891,330.650055,0,26.452,0,0,0.120365,0,0,0.103591,0,0,0.047555,0,0,160
15,385.840883,0.001953,-0.000195,0.99834,-0.037791,-0.013737,-0.114838,330.650055,0,26.452,0,0,0.120205,0,0,0.1035,0,0,0.04751,0,0,160
16,385.841308,0.001953,-0.000195,0.99834,-0.037791,0.077829,0.103891,330.650055,0,26.452,0,0,0.120084,0,0,0.103408,0,0,0.047554,0,0,160
17,385.84167,0.001953,-0.000195,1.002246,0.140029,-0.105303,-0.114838,330.650055,0,26.452,0,0,0.119893,0,0,0.103383,0,0,0.047513,0,0,160
18,385.842019,0.001953,-0.000195,0.99834,-0.037791,-0.105303,0.103891,0,0,26.452,0,0,0.119702,0,0,0.103294,0,0,0.047549,0,0,160
19,385.842364,0.001953,-0.000195,0.99834,-0.215611,0.169394,0.103891,0,0,26.452,0,0,0.119607,0,0,0.103144,0,0,0.047585,0,0,160
20,385.842727,0.001953,-0.000195,1.002246,-0.126701,0.077829,-0.114838,0,0,26.452,0,0,0.119482,0,0,0.103022,0,0,0.047543,0,0,160
21,385.843233,-0.001953,-0.000195,1.002246,0.051119,0.077829,0.103891,0,0,26.452,0,0,0.119516,0,0,0.102972,0,0,0.047596,0,0,160
22,385.843614,0.001953,-0.000195,1.002246,0.140029,-0.013737,0.103891,0,0,26.452,0,0,0.119357,0,0,0.10295,0,0,0.047635,0,0,160
23,385.843965,0.001953,-0.000195,1.002246,0.140029,-0.013737,0.103891,0,0,26.452,0,0,0.119199,0,0,0.102923,0,0,0.047672,0,0,160
24,385.844373,0.001953,-0.004102,1.006152,-0.126701,-0.105303,0.103891,0,0,26.452,0,0,0.119003,0,0,0.102648,0,0,0.047714,0,0,160
25,385.844725,0.001953,-0.004102,1.006152,0.228939,-0.105303,-0.114838,0,0,26.452,0,0,0.118813,0,0,0.102505,0,0,0.047674,0,0,160
26,385.851104,-0.001953,-0.004102,1.006152,0.051119,-0.105303,0.103891,0,0,26.452,0,0,0.118137,0,0,0.102605,0,0,0.048337,0,0,160
27,385.851569,-0.001953,-0.004102,1.006152,-0.037791,-0.013737,-0.114838,0,0,26.452,0,0,0.118126,0,0,0.102361,0,0,0.048283,0,0,160
28,385.851944,-0.001953,-0.004102,1.006152,0.228939,-0.013737,-0.114838,0,0,26.452,0,0,0.118116,0,0,0.102221,0,0,0.04824,0,0,160
29,385.852324,-0.001953,-0.000195,1.002246,-0.037791,-0.013737,-0.114838,0,0,26.452,0,0,0.118106,0,0,0.10213,0,0,0.048196,0,0,160
30,385.852672,-0.001953,-0.000195,1.006152,-0.126701,-0.013737,0.103891,0,0,26.452,0,0,0.118097,0,0,0.10201,0,0,0.048233,0,0,160
31,385.853013,-0.001953,-0.000195,1.002246,0.051119,-0.013737,-0.114838,0,0,26.452,0,0,0.118088,0,0,0.101951,0,0,0.048193,0,0,160
32,385.853354,-0.001953,-0.000195,1.002246,0.051119,-0.105303,0.103891,0,0,26.452,0,0,0.118048,0,0,0.101892,0,0,0.048229,0,0,160
33,385.853712,-0.005859,-0.000195,1.002246,0.051119,0.169394,0.103891,0,0,26.452,0,0,0.118254,0,0,0.101834,0,0,0.048266,0,0,160
34,385.854054,-0.005859,-0.000195,1.002246,0.051119,0.352525,-0.114838,0,0,26.452,0,0,0.118521,0,0,0.101775,0,0,0.048227,0,0,160
35,385.854445,-0.005859,0.003711,1.002246,0.051119,0.169394,-0.114838,0,0,26.452,0,0,0.118733,0,0,0.10187,0,0,0.048182,0,0,160
36,385.854792,-0.005859,0.003711,1.002246,0.051119,-0.013737,-0.114838,0,0,26.452,0,0,0.118874,0,0,0.101962,0,0,0.048142,0,0,160
37,385.855154,-0.005859,0.003711,0.99834,-0.037791,0.077829,-0.114838,0,0,26.452,0,0,0.119049,0,0,0.102023,0,0,0.048101,0,0,160
38,385.856493,-0.005859,-0.000195,0.99834,0.051119,0.26096,0.103891,0,0,26.452,0,0,0.119545,0,0,0.102015,0,0,0.04824,0,0,160
39,385.856913,-0.001953,-0.000195,0.99834,0.317849,-0.196868,-0.114838,0,0,26.452,0,0,0.119457,0,0,0.102071,0,0,0.048191,0,0,160
40,385.857271,-0.001953,-0.000195,0.99834,-0.215611,-0.105303,-0.114838,0,0,26.452,0,0,0.119414,0,0,0.101918,0,0,0.04815,0,0,160
41,385.860187,-0.001953,-0.000195,0.99834,0.140029,-0.013737,0.103891,0,0,26.452,0,0,0.119369,0,0,0.102249,0,0,0.048453,0,0,160
42,385.86061,-0.001953,-0.000195,0.994434,0.228939,0.169394,0.103891,0,0,26.452,0,0,0.119436,0,0,0.102268,0,0,0.048497,0,0,160
43,385.86122,0.001953,-0.000195,0.994434,0.140029,-0.105303,-0.114838,0,0,26.452,0,0,0.119214,0,0,0.102276,0,0,0.048427,0,0,160
44,385.861605,-0.001953,-0.000195,0.99834,0.051119,0.077829,-0.114838,0,0,26.452,0,0,0.119239,0,0,0.102219,0,0,0.048383,0,0,160
45,385.861963,0.001953,-0.000195,0.99834,0.140029,0.169394,0.103891,0,0,26.452,0,0,0.119142,0,0,0.102191,0,0,0.04842,0,0,160
46,385.862331,-0.001953,-0.000195,1.002246,0.051119,-0.196868,0.103891,0,0,26.452,0,0,0.119065,0,0,0.102133,0,0,0.048458,0,0,160
47,385.865443,-0.001953,-0.000195,1.002246,0.140029,-0.105303,-0.114838,0,0,26.452,0,0,0.118732,0,0,0.10249,0,0,0.048101,0,0,160
48,385.865871,-0.001953,-0.000195,1.002246,0.140029,0.077829,-0.114838,0,0,26.452,0,0,0.118761,0,0,0.102472,0,0,0.048052,0,0,160
49,385.866232,-0.001953,-0.000195,1.002246,-0.215611,-0.013737,-0.114838,0,0,26.452,0,0,0.118751,0,0,0.102317,0,0,0.04801,0,0,160
